Object Id,Average Velocity,Average Delta Altitude,Max Velocity,Average Delta longitude,Average Delta latitude,Average Delta time,longitude traverse,latitude traverse,Altitude Traverse,Time taken
913,4670.63008,32380.91,5110.631,136607.874,124107.466,41.82062,80898.762,71632.693,138.936,24.48039
914,4783.422103,42923.5248,5393.17,179257.51,151919.964,53.04088,98364.73,80257.007,1716.6608,28.56049
915,4894.406,41521.4128,5432.062,191991.028,165012.364,56.10095,93636.009,84786.287,637.159,27.54046
916,4692.432955,24607.53487,5060.386,160828.08,153730.23,48.96078,67187.6,68949.25,1723.49187,21.42032
917,4943.591737,19491.20727,5204.523,128097.952,132728,39.78057,60899.986,63791.085,1453.2934,18.36025
918,4514.682526,19164.1711,4802.865,114617.986,123127.364,36.7205,53731.878,59364.987,1615.7877,18.36025
919,4635.041818,25500.2777,4982.561,116182.586,130991.808,39.78057,62443.298,71597.329,458.373,21.42032
920,4634.09135,20006.091,4916.212,120443.326,135925.658,40.8006,57997.113,64324.979,339.843,19.38028
921,4621.859944,16144.575,4842.842,110703.932,121600.964,36.72051,52691.546,57270.307,29.478,17.34023
922,4550.937125,52514.138,5309.751,146269.426,147770.76,48.96079,93563.283,90488.59,1092.127,31.62056
923,5011.955333,56883.165,5748.694,207062.534,188362.658,64.26114,113554.862,97885.729,999.186,32.64058
924,4402.223545,25079.513,4757.32,178577.946,159875.494,54.0609,64983.613,61955.872,15.133,21.42032
925,4996.89984,31568.8972,5431.261,148071.306,143570.768,45.90071,83073.038,81606.379,1346.4492,24.48039
926,4528.915217,27844.2836,4934.344,155690.602,145274.778,46.92074,72620.296,63699.854,1341.0364,22.44035
927,4892.773308,35380.3574,5356.459,152490.696,150526.174,47.94077,79906.693,86838.742,619.544,25.50042
928,5041.050526,18405.7067,5294.832,143399.17,150691.106,43.86067,63478.975,63848.343,1337.5947,18.36025
929,4609.768571,23022.7107,4922.28,126369.836,128564.882,38.76055,62957.098,64742.421,207.27,20.4003
930,4705.727261,26470.544,5090.368,134401.464,135834.632,42.84065,71436.687,71062.191,1027.459,22.44035
931,4583.480407,37918.042,5122.81,154884.332,147993.978,48.96079,83361.906,76948.609,908.852,26.52044
